N° Caso CIADI,Nombre del Caso,Estado Demandado,Clasificación Capital,Región CIADI,País Inversor,Clasif. Inversor,Año Inicio,Resultado,Monto Reclamado (USD mill.),Monto Otorgado (USD mill.),% Otorgado/Reclamado,Tipo de Condena,Sector Económico,Decisiones Estatales Impugnadas,Tratado Invocado,Nacionalidad del Inversor,Composición Accionaria,Árbitros,¿Anulación?,Resultado Anulación,Idioma del Laudo,Variables extraídas auto,Link Italaw
ICSID Case No. ARB/19/19,Kenon and IC Power v. Peru,Peru,Importador neto,América del Sur,Singapore,Sin dato,2019,Sí con daños,195.30 USD,110.70 USD,,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Peru - Singapore FTA (2008),Singapore,,"Radicati di Brozolo, L. - President; Haigh, D. - Claimant; Siqueiros, E. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/10933
ICSID Case No. ARB/19/12,Kornikom v. Serbia,Serbia,Exportador neto,Europa Occidental,Bulgaria,Importador neto,2019,No - ganó el Estado,35.00 EUR (37.40 USD),Data not available,,Expropiación,Primary - B - Mining and quarrying,,Bulgaria - Serbia BIT (1996),Bulgaria,589 shares,"Hanotiau, B. - President; Rowley, J. W. - Claimant; Mayer, P. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/10907
ICSID Case No. ARB/19/28,Mamacocha and Latam Hydro v. Peru,Peru,Importador neto,América del Sur,United States of America,Exportador neto,2019,No - ganó el Estado,45.60 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas | NMF - Nación Más Favorecida,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Rescisión/terminación de contrato,Peru - United States FTA (2006),United States of America,,"Tawil, G. S. - Claimant; Vinuesa, R. E. - Respondent; van den Berg, A. J. - President",,,Indeterminado,Sí,https://www.italaw.com/cases/7621
ICSID Case No. ARB/19/35,Mihaljevic v. Croatia,Croatia,Importador neto,Europa Occidental,Germany,Exportador neto,2019,No - ganó el Estado,Data not available,Data not available,,TJE - Trato Justo y Equitativo,Tertiary - L - Real estate activities,,Croatia - Germany BIT (1997),Germany,,"Bull, C. - President; Kantor, M. - Claimant; Vicien-Milburn, M. - Respondent",,,Inglés,Sí,https://italaw.com/cases/10607
ICSID Case No. ARB/19/25,Orazul v. Argentina,Argentina,Importador neto,América del Sur,Spain,Exportador neto,2019,No - ganó el Estado,667.30 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Argentina - Spain BIT (1991),Spain,,"Hanefeld, I. - President; Haigh, D. - Claimant; Pellet, A. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/8790
ICSID Case No. ARB/19/2,Scholz Holding v. Morocco,Morocco,Importador neto,Medio Oriente/Norte África,Germany,Exportador neto,2019,No - ganó el Estado,9.70 EUR (9.90 USD),Data not available,,TJE - Trato Justo y Equitativo,Secondary - C - Manufacturing,,Germany - Morocco BIT (2001),Germany,,"Mourre, A. - President; Ziadé, N. - Claimant; Douglas, Z. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/11120
ICSID Case No. ARB/18/2,Almasryia v. Kuwait,Kuwait,Exportador neto,Medio Oriente/Norte África,Egypt,Importador neto,2018,No - ganó el Estado,320.00 USD,Data not available,,Expropiación,Tertiary - L - Real estate activities,Nacionalización,Egypt - Kuwait BIT (2001),Egypt,5% interest,"Ramírez Hernández, R. - President; Dévaud, P. - Claimant; Knieper, R. - Respondent",ICSID annulment proceedings,Award/decision annulled in its entirety ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7841
ICSID Case No. ARB/18/30,Alverley and Germen v. Romania,Romania,Importador neto,Europa Occidental,Cyprus,Exportador neto,2018,No - ganó el Estado,200.00 USD,Data not available,,,Tertiary - F - Construction,,Cyprus - Romania BIT (1991),Cyprus,,"Hanotiau, B. - Claimant; Mayer, P. - Respondent; Greenwood, C. - President",,,Indeterminado,Sí,https://www.italaw.com/cases/9878
ICSID Case No. ARB/18/21,Bay View and Spalena v. Rwanda,Rwanda,Importador neto,África Subsahariana,United States of America,Exportador neto,2018,No - ganó el Estado,95.00 USD,Data not available,,,Primary - B - Mining and quarrying,,Rwanda - United States of America BIT (2008),United States of America,,"Phillips, N. - President; Bidwell Jr., J. T. - Claimant; Dohmann, B. - Respondent",,,,No — revisar manual,https://www.italaw.com/cases/9419
AF/18/5,BBVA v. Bolivia,"Bolivia, Plurinational State of",Importador neto,Sin clasificar,Spain,Exportador neto,2018,Sí con daños,118.50 USD,94.80 USD,,TJE - Trato Justo y Equitativo,Tertiary - K - Financial and insurance activities,Cambio regulatorio | Nacionalización,"Bolivia, Plurinational State of - Spain BIT (2001)",Spain,,"Galíndez, V. - Claimant; Derains, Y. - Respondent; Alexandrov, S. A. - President",Judicial review by national courts,Pending Judicial review by national courts,Indeterminado,Sí,https://www.italaw.com/cases/9490
ICSID Case No. ARB/18/28,Borkowski and Rasia FZE v. Armenia,Armenia,Importador neto,Este Europa/Asia Central,"United States of America;
United Arab Emirates",Sin dato,2018,No - ganó el Estado,150.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas,"Tertiary - H - Transportation and storage;
Tertiary - F - Construction",,Armenia - United States of America BIT (1992),"United States of America;
United Arab Emirates",,"Beechey, J. - Claimant; Thomas, J. C. - Respondent; Kalicki, J. E. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/10157
ICSID Case No. ARB/18/5,Carrizosa v. Colombia (II),Colombia,Importador neto,América del Sur,United States of America,Exportador neto,2018,No - ganó el Estado,40.00 USD,Data not available,,Expropiación,Tertiary - K - Financial and insurance activities,,Colombia - United States TPA (2006),United States of America,,"Kaufmann-Kohler, G. - President; Fernández Arroyo, D. P. - Claimant; Söderlund, C. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/8262
ICSID Case No. ARB/18/4,Cascade Investments v. Turkey,Türkiye,Importador neto,Sin clasificar,Belgium,Exportador neto,2018,No - ganó el Estado,120.00 EUR (142.40 USD),Data not available,,,Tertiary - J - Information and communication,,BLEU (Belgium-Luxembourg Economic Union) - Turkey BIT (1986),Belgium,,"Kalicki, J. E. - President; van den Berg, A. J. - Claimant; Paulsson, J. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/8037
ICSID Case No. ARB/18/18,Ipek v. Türkiye,Türkiye,Importador neto,Sin clasificar,United Kingdom,Importador neto,2018,No - ganó el Estado,Data not available,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Libre Transferencia | Trato Nacional,"Primary - B - Mining and quarrying;
Tertiary - J - Information and communication",,Turkey - United Kingdom BIT (1991),United Kingdom,"20% 
share","McLachlan, C. A. - President; Fortier, L. Y. - Claimant; Lévy, L. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/8058
AF/18/3,Kimberly-Clark v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,"Belgium;
Netherlands;
Spain",Sin dato,2018,No - ganó el Estado,Data not available,Data not available,,,Secondary - C - Manufacturing,,"BLEU (Belgium-Luxembourg Economic Union) - Venezuela, Bolivarian Republic of BIT (1998);
Spain - Venezuela, Bolivarian Republic of BIT (1995);
Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","Belgium;
Netherlands;
Spain",,"Schill, S. - President (replaced); Haigh, D. - Claimant; Stern, B. - Respondent; Kaufmann-Kohler, G. - President",,,,No — revisar manual,Not available
AF/18/4,MTS v. Turkmenistan (II),Turkmenistan,Importador neto,Este Europa/Asia Central,Russian Federation,Sin dato,2018,No - ganó el Estado,750.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida | Trato Nacional,Tertiary - J - Information and communication,,Russian Federation - Turkmenistan BIT (2009),Russian Federation,,"Elsing, S. H. - President; Patocchi, P. M. - Claimant; Townsend, J. M. - Respondent",Judicial review by national courts,Pending Judicial review by national courts,Inglés,Sí,https://www.italaw.com/cases/11031
ICSID Case No. ARB/18/8,Rand Investments and others v. Serbia,Serbia,Exportador neto,Europa Occidental,"Canada;
Cyprus",Sin dato,2018,Sí con daños,87.50 EUR (95.70 USD),14.60 EUR (15.90 USD),,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | NMF - Nación Más Favorecida | Trato Nacional,"Primary - A - Agriculture, forestry and fishing",Medida fiscal/impositiva | Nacionalización,"Canada - Serbia BIT (2014);
Cyprus - Serbia BIT (2005)","Canada;
Cyprus",,"Kaufmann-Kohler, G. - President; Vasani, B. S. - Claimant; Kohen, M. G. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/7884
ICSID Case No. ARB/18/35,Unionmatex v. Turkmenistan,Turkmenistan,Importador neto,Este Europa/Asia Central,Germany,Exportador neto,2018,Sí con daños,46.00 EUR (50.50 USD),2.50 EUR (2.70 USD),,Expropiación | Cláusula Paraguas,Tertiary - F - Construction,,Germany - Turkmenistan BIT (1997),Germany,,"Voser, N. - Claimant; Sands, P. - Respondent; Reed, L. - President",,,Indeterminado,Sí,https://www.italaw.com/cases/4858
ICSID Case No. ARB/18/46,Westwater Resources v. Turkey,Türkiye,Importador neto,Sin clasificar,United States of America,Exportador neto,2018,Sí con daños,36.50 USD,1.30 USD,,TJE - Trato Justo y Equitativo | Expropiación,Primary - B - Mining and quarrying,Revocación de licencia/permiso,Turkey - United States of America BIT (1985),United States of America,,"Binnie, I. - President; Volterra, R. - Claimant; Stern, B. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/7014
ICSID Case No. ARB/17/35,Addiko Bank v. Montenegro,Montenegro,Importador neto,Europa Occidental,Austria,Exportador neto,2017,No - ganó el Estado,Data not available,Data not available,,TJE - Trato Justo y Equitativo | Protección y Seguridad Plenas,Tertiary - K - Financial and insurance activities,,Austria - Montenegro BIT (2001),Austria,,"Hanotiau, B. - President; Tschanz, P.-Y. - Claimant; Stern, B. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/10093
ICSID Case No. ARB/17/7,Agility v. Iraq,Iraq,Exportador neto,Medio Oriente/Norte África,Kuwait,Exportador neto,2017,No - ganó el Estado,652.10 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | NMF - Nación Más Favorecida | Trato Nacional,Tertiary - J - Information and communication,,Iraq - Kuwait BIT (2013),Kuwait,,"Beechey, J. - Claimant; Murphy, S. D. - Respondent; Bull, C. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/5142
AF/17/1,Air Canada v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Canada,Exportador neto,2017,Sí con daños,213.10 USD,20.80 USD,,TJE - Trato Justo y Equitativo | Expropiación | Libre Transferencia | NMF - Nación Más Favorecida,Tertiary - H - Transportation and storage,Cambio regulatorio,"Canada - Venezuela, Bolivarian Republic of BIT (1996)",Canada,,"Tercier, P. - President; Poncet, C. - Claimant; Villanúa Gómez, D. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/5004
ICSID Case No. ARB/17/45,Al Ramahi v. Hungary,Hungary,Importador neto,Europa Occidental,Jordan,Importador neto,2017,No - ganó el Estado,Data not available,Data not available,,,Tertiary - I - Accommodation and food service activities,,Hungary - Jordan BIT (2007),Jordan,,"Binnie, I. - President; Gharavi, H. G. - Claimant; Stern, B. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/17/36,Arin Capital and Khudyan v. Armenia,Armenia,Importador neto,Este Europa/Asia Central,United States of America,Exportador neto,2017,No - ganó el Estado,15.00 USD,Data not available,,,Tertiary - L - Real estate activities,,Armenia - United States of America BIT (1992),United States of America,,"van Leeuwen, M. - President; Santens, A. - Claimant; Douglas, Z. - Respondent",ICSID annulment proceedings,Award/decision partially annulled ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/8413
ICSID Case No. ARB/17/22,Big Sky Energy v. Kazakhstan,Kazakhstan,Importador neto,Este Europa/Asia Central,United States of America,Exportador neto,2017,No - ganó el Estado,460.10 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Primary - B - Mining and quarrying,,Kazakhstan - United States of America BIT (1992),United States of America,,"Cremades, B. M. - President; Moser, M. J. - President (replaced); Alexandrov, S. A. - Claimant; Tomka, P. - Respondent; Knieper, R. - Respondent (replaced)",,,Indeterminado,Sí,https://www.italaw.com/cases/6162
ICSID Case No. ARB/17/23,CMC v. Mozambique,Mozambique,Importador neto,África Subsahariana,Italy,Exportador neto,2017,No - ganó el Estado,11.80 EUR (13.10 USD),Data not available,,Cláusula Paraguas,Tertiary - F - Construction,,Italy - Mozambique BIT (1998),Italy,,"Townsend, J. M. - President; Rees, P. - Claimant; Casey, J. B. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/7631
ICSID Case No. ARB/17/18,De Sutter and others v. Madagascar (II),Madagascar,Importador neto,África Subsahariana,"Luxembourg;
Belgium",Sin dato,2017,Sí con daños,25.20 EUR (27.40 USD),6.90 EUR (7.50 USD),,,Secondary - C - Manufacturing,,BLEU (Belgium-Luxembourg Economic Union) - Madagascar BIT (2005),"Luxembourg;
Belgium",,"Kaufmann-Kohler, G. - President; Malinvaud, C. - Claimant; Pellet, A. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/5939
ICSID Case No. ARB/17/33,EcoDevelopment and EcoEnergy v. Tanzania,"Tanzania, United Republic of",Importador neto,Sin clasificar,Sweden,Exportador neto,2017,Sí con daños,Data not available,164.60 USD,,TJE - Trato Justo y Equitativo | Expropiación,"Primary - A - Agriculture, forestry and fishing;
Secondary - C - Manufacturing",,Sweden - United Republic of Tanzania BIT (1999),Sweden,,"Greenwood, C. - President; Alexandrov, S. A. - Claimant; Adekoya, O. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/10180
ICSID Case No. ARB/17/32,Elitech and Razvoj v. Croatia,Croatia,Importador neto,Europa Occidental,Netherlands,Exportador neto,2017,No - ganó el Estado,300.00 EUR (324.40 USD),Data not available,,TJE - Trato Justo y Equitativo,"Tertiary - F - Construction;
Tertiary - R - Arts, entertainment and recreation;
Tertiary - L - Real estate activities",,Croatia - Netherlands BIT (1998),Netherlands,,"McRae, D. M. - Respondent (replaced); Kaufmann-Kohler, G. - President; Gotanda, J. Y. - Claimant; Stern, B. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/6623
AF/17/2,Eutelsat v. Mexico,Mexico,Importador neto,América del Norte,France,Exportador neto,2017,No - ganó el Estado,120.00 USD,Data not available,,,Tertiary - J - Information and communication,,France - Mexico BIT (1998),France,,"Bullard, A. - President; Orrego Vicuña, F. - Claimant (replaced); Kohen, M. G. - Respondent; Tawil, G. S. - Claimant",,,,No — revisar manual,Not available
ICSID Case No. ARB/17/29,Gardabani and Silk Road v. Georgia,Georgia,Importador neto,Este Europa/Asia Central,Netherlands,Exportador neto,2017,Sí con daños,206.30 USD,75.90 USD,,TJE - Trato Justo y Equitativo | Cláusula Paraguas,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Cambio regulatorio,Georgia - Netherlands BIT (1998),Netherlands,,"Álvarez, H. C. - President; Alexandrov, S. A. - Claimant; Douglas, Z. - Respondent; Grigera Naón, H. A. - Claimant (replaced)",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/10246
ICSID Case No. ARB/17/10,Itisaluna Iraq and others v. Iraq,Iraq,Exportador neto,Medio Oriente/Norte África,"Jordan;
United Arab Emirates",Sin dato,2017,No - ganó el Estado,Data not available,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida | Trato Nacional,Tertiary - J - Information and communication,,OIC Investment Agreement (1981),"Jordan;
United Arab Emirates",,"Bethlehem, D. - President; Peter, W. - Claimant; Stern, B. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/5591
ICSID Case No. ARB/17/9,Lidercón v. Peru,Peru,Importador neto,América del Sur,Spain,Exportador neto,2017,No - ganó el Estado,123.00 USD,Data not available,,,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,Cambio regulatorio,Peru - Spain BIT (1994),Spain,,"Paulsson, J. - President; Gonzalez de Cossio, F. - Claimant; Perezcano Diaz, H. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/5565
ICSID Case No. ARB/17/30,Lotus v. Turkmenistan,Turkmenistan,Importador neto,Este Europa/Asia Central,Türkiye,Importador neto,2017,No - ganó el Estado,66.20 EUR (71.50 USD),Data not available,,Expropiación,"Secondary - C - Manufacturing;
Tertiary - D - Electricity, gas, steam and air conditioning supply",,"Turkey - Turkmenistan BIT (1992);
The Energy Charter Treaty (1994)",Türkiye,,"Lowe, V. - President; Boykin, J. H. - Claimant; Stern, B. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/8095
ICSID Case No. ARB/17/28,LTME and Madamobil v. Madagascar,Madagascar,Importador neto,África Subsahariana,Mauritius,Importador neto,2017,No - ganó el Estado,Data not available,Data not available,,,Tertiary - J - Information and communication,,Madagascar - Mauritius BIT (2004),Mauritius,,"Edward, D. A. O. - President; Mantilla-Serrano, F. - Claimant; Stern, B. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/17/27,Magyar Farming and others v. Hungary,Hungary,Importador neto,Europa Occidental,United Kingdom,Importador neto,2017,Sí con daños,17.90 EUR (19.70 USD),7.10 EUR (7.90 USD),,Expropiación,"Primary - A - Agriculture, forestry and fishing",,Hungary - United Kingdom BIT (1987),United Kingdom,,"Kaufmann-Kohler, G. - President; Alexandrov, S. A. - Claimant; Hanefeld, I. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7661
ICSID Case No. ARB/17/42,MAKAE v. Saudi Arabia,Saudi Arabia,Exportador neto,Medio Oriente/Norte África,France,Exportador neto,2017,No - ganó el Estado,570.60 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,France - Saudi Arabia BIT (2002),France,,"Crook, J. R. - President; Van Houtte, V. - Claimant; Hafez, K. - Respondent",,,Inglés,Sí,https://www.italaw.com/cases/9043
ICSID Case No. ARB/17/8,OHL and others v. Kuwait,Kuwait,Exportador neto,Medio Oriente/Norte África,"Spain;
Italy",Sin dato,2017,No - ganó el Estado,236.40 EUR (290.40 USD),Data not available,,TJE - Trato Justo y Equitativo,Tertiary - F - Construction,,"Italy - Kuwait BIT (1987);
Kuwait - Spain BIT (2005)","Spain;
Italy",,"Alexandrov, S. A. - Claimant; Douglas, Z. - Respondent; Bull, C. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Indeterminado,Sí,https://www.italaw.com/cases/5412
ICSID Case No. ARB/17/1,Ortiz v. Algeria,Algeria,Importador neto,Medio Oriente/Norte África,Spain,Exportador neto,2017,No - ganó el Estado,46.30 USD,Data not available,,TJE - Trato Justo y Equitativo,Tertiary - F - Construction,Nacionalización,Algeria - Spain BIT (1994),Spain,,"Lévy, L. - President; Fortier, L. Y. - Claimant; Hanotiau, B. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/5008
ICSID Case No. ARB/17/11,Pawlowski and Projekt Sever v. Czech Republic,Czechia,Importador neto,Sin clasificar,Switzerland,Exportador neto,2017,Sí sin daños,5266.60 CZK (237.20 USD),Data not available,,TJE - Trato Justo y Equitativo | NMF - Nación Más Favorecida | Trato Nacional,Tertiary - F - Construction,,Czech Republic - Switzerland BIT (1990),Switzerland,,"Beechey, J. - Claimant; Fernández-Armesto, J. - President; Lowe, V. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/5015
ICSID Case No. ARB/17/16,Ríos v. Chile,Chile,Importador neto,América del Sur,Colombia,Importador neto,2017,No - ganó el Estado,347.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,Tertiary - H - Transportation and storage,Rescisión/terminación de contrato | Reducción/renegociación de tarifas,Chile - Colombia FTA (2006),Colombia,,"Garibaldi, O. M. - Claimant; Kaufmann-Kohler, G. - President; Stern, B. - Respondent",,,Indeterminado,Sí,https://www.italaw.com/cases/5933
ICSID Case No. ARB/17/14,Rockhopper v. Italy,Italy,Exportador neto,Europa Occidental,United Kingdom,Importador neto,2017,Sí con daños,281.70 EUR (281.30 USD),190.70 EUR (190.50 USD),,Expropiación,Primary - B - Mining and quarrying,,The Energy Charter Treaty (1994),United Kingdom,,"Poncet, C. - Claimant; Dupuy, P.-M. - Respondent; Reichert, K. - President",ICSID annulment proceedings,Pending ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/5788
ICSID Case No. ARB/17/43,Samsung v. Saudi Arabia,Saudi Arabia,Exportador neto,Medio Oriente/Norte África,"Korea, Republic of",Exportador neto,2017,No - ganó el Estado,Data not available,Data not available,,,Tertiary - F - Construction,,"Korea, Republic of - Saudi Arabia BIT (2002)","Korea, Republic of",,"Zuleta, E. - President; Alexandrov, S. A. - Claimant; Kalicki, J. E. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/17/44,The Lopez-Goyne Family Trust and others v. Nicaragua,Nicaragua,Importador neto,América Central/Caribe,United States of America,Exportador neto,2017,No - ganó el Estado,198.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,Primary - B - Mining and quarrying,,CAFTA - DR (2004),United States of America,,"Radicati di Brozolo, L. - President; Martínez de Hoz, J. A. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,https://www.italaw.com/cases/7486
AF/17/3,Vento v. Mexico,Mexico,Importador neto,América del Norte,United States of America,Exportador neto,2017,No - ganó el Estado,2748.00 USD,Data not available,,,Secondary - C - Manufacturing,,NAFTA (1992),United States of America,,"Gantz, D. A. - Claimant; Rigo Sureda, A. - President; Perezcano Diaz, H. - Respondent",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Inglés,Sí,https://www.italaw.com/cases/6893
ICSID Case No. ARB/16/23,Agroinsumos Ibero-Americanos and others v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Spain,Exportador neto,2016,Sí con daños,Data not available,1630.00 USD,,,"Primary - A - Agriculture, forestry and fishing",,"Spain - Venezuela, Bolivarian Republic of BIT (1995)",Spain,,"Zuleta, E. - President; Grigera Naón, H. A. - Claimant; Bottini, G. - Respondent",ICSID annulment proceedings,Pending ICSID annulment proceedings,,No — revisar manual,Not available
